"Username","DesktopFolder","DocumentsFolder"
".NET v4.5","C:\Users\.NET v4.5\Desktop","C:\Users\.NET v4.5\Documents"
".NET v4.5 Classic","C:\Users\.NET v4.5 Classic\Desktop","C:\Users\.NET v4.5 Classic\Documents"
"adames","Not Found","C:\Users\adames\Documents"
"adent","C:\Users\adent\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\adent\OneDrive - Gentle Heart Recovery\Documents"
"aevans","C:\Users\aevans\Desktop","C:\Users\aevans\Documents"
"DefaultAppPool","C:\Users\DefaultAppPool\Desktop","C:\Users\DefaultAppPool\Documents"
"defaultuser1","C:\Users\defaultuser1\Desktop","C:\Users\defaultuser1\Documents"
"drussell","C:\Users\drussell\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\drussell\OneDrive - Gentle Heart Recovery\Documents"
"DTC","C:\Users\DTC\Desktop","C:\Users\DTC\Documents"
"egleason","C:\Users\egleason\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\egleason\OneDrive - Gentle Heart Recovery\Documents"
"JasonSurmaceviz","Not Found","C:\Users\JasonSurmaceviz\Documents"
"jciffa","Not Found","C:\Users\jciffa\Documents"
"JessicaKostrewa","Not Found","C:\Users\JessicaKostrewa\Documents"
"PauletteHurst","Not Found","C:\Users\PauletteHurst\Documents"
"psheehan","Not Found","C:\Users\psheehan\Documents"
"sserth","C:\Users\sserth\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\sserth\OneDrive - Gentle Heart Recovery\Documents"
